,2mTemp,2mDpt,sfcCAPE,sfcCIN,sfcPotentialTmp,sfcPressure,PWAT,2mRH,srh,lifted index 180-0 mb above gnd Best (4-layer),10m wind speed,250mb Geopotenial height,250mb Temperature,250mb wind speed,500mb Geopotenial height,500mb Temperature,500mb wind speed,700mb Geopotenial height,700mb Temperature,700mb wind speed,850mb Geopotenial height,850mb Temperature,850mb wind speed,925mb Geopotenial height,925mb Temperature,925mb wind speed,COUNT,countBinary
2004-01-17,278.712,274.092,115.083,-8.02711,283.6040000000001,93272.8,14.1543,75.7471,82.7205,8.737969999999999,4.86264,10423.1,223.292,28.8234,5583.52,255.46,18.2888,2989.96,269.235,14.8457,1437.51,275.73400000000004,12.1078,749.595,278.79900000000004,9.74871,0,0
2002-03-16,283.6620000000001,275.089,205.33,-37.1346,289.4790000000001,93517.4,13.8239,62.7063,170.27700000000004,4.6519900000000005,5.26667,10451.8,223.169,43.7374,5628.96,253.522,24.6816,3042.37,270.991,12.0253,1470.95,279.936,9.06947,771.8510000000001,283.078,7.87944,1,0
2012-08-02,307.837,284.569,744.2919999999998,-70.4968,318.188,93315.8,29.2943,29.7815,53.1454,-1.24604,3.52288,10936.8,229.976,16.3196,5891.53,266.249,10.8289,3171.31,285.321,5.602530000000002,1505.99,297.9290000000001,4.3651,755.8439999999998,303.661,4.51262,0,0
2007-06-10,301.846,288.565,1032.13,-31.5498,309.137,93420.4,30.2433,49.1394,58.3112,-2.16574,4.29626,10862.7,228.694,20.1254,5846.15,264.632,8.54837,3151.34,282.264,5.19233,1504.34,294.291,5.04862,764.0889999999998,299.722,4.82972,2,0
2005-07-14,304.392,289.152,864.1139999999998,-64.7398,313.155,93559.8,33.1766,44.8064,47.8803,-1.72131,3.42341,10967.6,231.03,10.5751,5903.82,267.103,9.21303,3179.57,284.303,4.8654,1522.75,295.79,4.29057,778.367,301.277,4.50166,0,0
1986-01-05,272.888,264.836,0.7754880000000001,-0.181364,276.47900000000004,93931.1,6.17631,59.8381,132.21200000000002,12.0752,4.17975,10388.7,219.074,40.8221,5600.69,253.754,23.1544,3022.21,268.761,14.6668,1475.09,273.974,9.35091,796.398,274.737,7.697260000000001,0,0
1999-06-11,299.014,286.634,852.342,-17.4357,307.258,93670.6,28.6168,52.9018,58.0676,-1.68995,3.60771,10801.7,226.616,19.8237,5828.59,262.605,10.1817,3150.78,280.314,5.83451,1519.84,291.242,4.61028,787.832,296.469,4.48571,5,1
1982-05-12,293.589,283.86,432.003,-12.6796,301.1670000000001,93126.4,25.098000000000006,59.7659,126.509,-0.0116243,6.35416,10642.1,225.215,30.9405,5719.56,260.151,15.7849,3070.67,276.894,10.9646,1460.38,287.065,10.4085,738.5419999999998,291.79,9.7578,35,1
2010-11-08,288.738,275.199,4.99536,-0.683358,292.031,93227.7,9.52324,46.037,97.5327,7.994739999999998,4.25356,10675.0,224.035,22.4681,5750.48,261.963,11.3916,3077.85,279.471,8.26448,1459.72,288.435,8.40147,741.633,290.968,8.297369999999999,0,0
2006-06-02,301.204,285.151,496.149,-41.8224,309.394,93781.1,23.6638,41.9712,52.8931,-0.638442,3.14776,10783.5,224.529,17.8373,5843.33,262.471,10.5561,3165.27,280.17900000000003,5.91866,1531.75,292.516,4.59743,795.8789999999998,298.495,4.42893,1,0
1983-07-04,300.824,286.782,978.421,-21.5565,309.091,93745.3,27.9019,48.2319,53.1282,-0.364577,4.79822,10880.9,229.148,19.5325,5864.65,265.097,12.4388,3168.39,281.375,8.68614,1530.59,292.641,7.2717800000000015,794.1030000000002,298.257,6.790660000000001,1,0
2006-04-14,298.347,279.92,113.887,-56.5081,305.341,93000.5,15.7893,36.593,93.914,2.1659900000000003,5.34881,10690.1,224.558,37.3157,5757.73,261.362,16.8861,3088.95,280.376,9.55629,1456.17,291.986,8.49974,723.773,297.314,7.7000199999999985,1,0
1991-03-19,288.625,276.721,9.30064,-2.8829,294.607,93009.7,12.4238,48.2117,138.5,5.291919999999998,6.0870000000000015,10518.3,222.556,40.6994,5651.87,256.943,21.0553,3028.36,275.31,12.3204,1433.75,283.969,9.03373,723.054,288.532,8.1131,0,0
1991-05-18,297.186,284.1090000000001,638.336,-28.3713,304.805,93857.1,24.1345,50.9443,76.5407,1.22039,6.1129,10793.0,225.406,17.445999999999998,5834.07,263.03,9.84136,3153.91,280.35200000000003,8.41568,1525.74,289.822,7.82972,799.8330000000002,294.223,7.89288,2,0
2001-02-12,278.747,274.465,44.3006,-7.390560000000002,282.637,93987.2,15.1537,78.1742,123.896,4.46674,3.42061,10465.9,220.68,43.6727,5662.79,253.814,24.4248,3072.83,271.399,12.9838,1501.6,279.222,8.41532,808.202,280.337,5.84998,0,0
1994-01-29,272.191,266.826,5.29331,-0.840089,276.936,93990.9,9.03139,70.6061,101.062,9.54704,3.38197,10218.6,224.889,36.2361,5498.64,246.992,21.3999,2985.71,262.129,11.815,1472.57,268.751,5.5857199999999985,802.5,271.545,4.90964,0,0
1989-01-23,280.638,273.521,17.8227,-9.79313,284.685,93698.3,12.363,66.1773,124.588,6.43347,4.1696,10430.5,218.842,31.8502,5640.32,254.437,17.0624,3047.85,271.261,9.2414,1478.72,279.16700000000003,8.79424,783.327,281.588,7.52193,0,0
